比容量(mAh/g)	电压(V)	
126.79	1.5760	
126.98	1.6023	
127.16	1.6203	
127.34	1.6314	
127.53	1.6397	
127.71	1.6455	
127.89	1.6507	
128.08	1.6531	
128.26	1.6542	
128.44	1.6557	
128.63	1.6586	
128.81	1.6605	
128.99	1.6619	
129.17	1.6620	
129.36	1.6618	
129.54	1.6629	
129.72	1.6627	
129.91	1.6626	
130.09	1.6623	
130.27	1.6632	
130.46	1.6626	
130.64	1.6627	
130.82	1.6629	
131.01	1.6633	
131.19	1.6639	
131.37	1.6632	
131.56	1.6630	
131.74	1.6648	
131.92	1.6648	
132.11	1.6641	
132.29	1.6646	
132.47	1.6648	
132.66	1.6636	
132.84	1.6647	
133.02	1.6665	
133.21	1.6667	
133.39	1.6672	
133.57	1.6689	
133.76	1.6701	
133.94	1.6703	
134.12	1.6699	
134.31	1.6696	
134.49	1.6683	
134.67	1.6673	
134.85	1.6669	
135.04	1.6662	
135.22	1.6666	
135.40	1.6657	
135.59	1.4272	
135.77	1.3615	
135.95	1.3877	
136.14	1.4375	
136.32	1.4818	
136.50	1.5337	
136.69	1.5755	
136.87	1.6034	
137.05	1.6219	
137.24	1.6328	
137.42	1.6385	
137.60	1.6442	
137.79	1.6490	
137.97	1.6511	
138.15	1.6534	
138.34	1.6534	
138.52	1.6550	
138.70	1.6566	
138.89	1.6565	
139.07	1.6565	
139.25	1.6570	
139.44	1.6571	
139.62	1.6574	
139.80	1.6578	
139.99	1.6587	
140.17	1.6598	
140.35	1.6612	
140.53	1.6611	
140.72	1.6614	
140.90	1.6603	
141.08	1.6600	
141.27	1.6611	
141.45	1.6622	
141.63	1.6607	
141.82	1.6619	
142.00	1.6618	
142.18	1.6636	
142.37	1.6627	
142.55	1.6616	
142.73	1.6620	
142.92	1.6618	
143.10	1.6626	
143.28	1.6630	
143.47	1.6627	
143.65	1.6635	
143.83	1.6640	
144.02	1.6653	
144.20	1.6645	
144.38	1.6635	
144.57	1.6632	
144.75	1.6646	
144.93	1.6647	
145.12	1.6634	
145.30	1.5098	
145.48	1.3491	
145.67	1.3864	
145.85	1.4392	
146.03	1.4812	
146.21	1.5279	
146.40	1.5683	
146.58	1.5909	
146.76	1.6066	
146.95	1.6183	
147.13	1.6267	
147.31	1.6328	
147.50	1.6379	
147.68	1.6421	
147.86	1.6448	
148.05	1.6469	
148.23	1.6494	
148.41	1.6516	
148.60	1.6533	
148.78	1.6550	
148.96	1.6567	
149.15	1.6582	
149.33	1.6583	
149.51	1.6579	
149.70	1.6596	
149.88	1.6599	
150.06	1.6611	
150.25	1.6610	
150.43	1.6597	
150.61	1.6592	
150.80	1.6578	
150.98	1.6576	
151.16	1.6594	
151.35	1.6593	
151.53	1.6597	
151.71	1.6593	
